Date,Close/Last,Volume,Open,High,Low
08/26/2025,$3.13,42582,$3.13,$3.148,$3.06
08/25/2025,$3.158,15768,$3.19,$3.20,$3.10
08/22/2025,$3.166,15111,$3.04,$3.166,$3.04
08/21/2025,$3.117,21802,$3.085,$3.13,$3.063
08/20/2025,$3.118,19097,$3.019,$3.139,$2.99
08/19/2025,$3.096,9360,$3.281,$3.30,$3.058
08/18/2025,$3.121,35675,$3.20,$3.20,$3.058
08/15/2025,$3.118,18242,$3.053,$3.15,$3.002
08/14/2025,$3.049,32237,$3.133,$3.133,$3.003
08/13/2025,$3.11,29530,$3.20,$3.20,$3.021
08/12/2025,$3.19,25159,$3.10,$3.20,$3.066
08/11/2025,$3.17,17505,$3.207,$3.22,$3.00
08/08/2025,$3.188,34714,$3.20,$3.229,$3.00
08/07/2025,$3.199,33769,$3.40,$3.40,$3.115
08/06/2025,$3.30,55193,$3.359,$3.40,$3.20
08/05/2025,$3.364,7903,$3.40,$3.40,$3.30
08/04/2025,$3.40,38227,$3.40,$3.599,$3.238
08/01/2025,$3.39,50212,$3.35,$3.515,$3.248
07/31/2025,$3.351,30652,$3.44,$3.499,$3.238
07/30/2025,$3.518,29549,$3.50,$3.529,$3.28
07/29/2025,$3.434,59521,$3.70,$3.70,$3.231
07/28/2025,$3.638,71755,$3.448,$3.668,$3.35
07/25/2025,$3.40,77802,$3.20,$3.448,$3.13
07/24/2025,$3.22,55448,$3.30,$3.31,$3.185
07/23/2025,$3.322,47925,$3.29,$3.399,$3.164
07/22/2025,$3.22,72684,$3.234,$3.35,$3.025
07/21/2025,$3.30,135132,$3.111,$3.4501,$3.111
07/18/2025,$3.09,109092,$3.26,$3.40,$2.99
07/17/2025,$3.25,49408,$3.31,$3.49,$3.209
07/16/2025,$3.38,49498,$3.21,$3.38,$3.20
07/15/2025,$3.34,59739,$3.40,$3.459,$3.255
07/14/2025,$3.519,29663,$3.36,$3.61,$3.33
07/11/2025,$3.503,44565,$3.60,$3.70,$3.40
07/10/2025,$3.70,47829,$3.644,$3.798,$3.50
07/09/2025,$3.599,33941,$3.70,$3.898,$3.516
07/08/2025,$3.661,24143,$3.80,$3.871,$3.655
07/07/2025,$3.89,104587,$3.968,$4.249,$3.40
07/03/2025,$4.03,79967,$4.20,$4.45,$4.03
07/02/2025,$4.04,38522,$3.91,$4.20,$3.85
07/01/2025,$4.03,147214,$4.30,$4.60,$3.95
06/30/2025,$4.40,267789,$3.80,$4.444,$3.773
06/27/2025,$3.773,156182,$3.535,$3.90,$3.493
06/26/2025,$3.52,80587,$3.186,$3.78,$3.1785
06/25/2025,$3.277,53288,$2.909,$3.446,$2.909
06/24/2025,$3.10,41488,$3.20,$3.20,$2.85
06/23/2025,$2.89,111114,$3.10,$3.10,$2.60
06/20/2025,$2.81,50348,$2.94,$3.073,$2.806
06/18/2025,$2.866,131018,$3.157,$3.358,$2.40
06/17/2025,$3.359,63403,$3.264,$3.50,$3.202
06/16/2025,$3.439,135593,$3.77,$4.00,$3.315
06/13/2025,$3.77,127725,$3.639,$4.10,$3.451
06/12/2025,$3.556,140626,$3.752,$4.007,$3.51
06/11/2025,$3.968,303970,$4.552,$4.661,$3.652
06/10/2025,$4.82,639667,$5.00,$5.199,$4.404
06/09/2025,$5.282,352098,$5.769,$5.769,$5.00
06/06/2025,$5.70,4676339,$5.00,$7.559,$4.80
06/05/2025,$4.62,707760,$4.30,$5.40,$4.21
06/04/2025,$4.336,456361,$3.94,$4.688,$3.85
06/03/2025,$4.176,781827,$4.14,$4.80,$3.982
06/02/2025,$4.90,25496550,$4.552,$5.611,$3.606
05/30/2025,$2.79,5749351,$2.50,$3.30,$2.41
05/29/2025,$2.47,19371,$2.50,$2.563,$2.451
05/28/2025,$2.499,22532,$2.501,$2.587,$2.402
05/27/2025,$2.498,32163,$2.589,$2.726,$2.43
05/23/2025,$2.59,16536,$2.68,$2.689,$2.43
05/22/2025,$2.581,69015,$2.98,$2.99,$2.306
05/21/2025,$2.884,34324,$2.93,$3.15,$2.701
05/20/2025,$2.90,32877,$2.90,$2.999,$2.81
05/19/2025,$2.944,10761,$2.972,$3.0095,$2.85
05/16/2025,$2.94,14197,$2.999,$3.148,$2.80
05/15/2025,$2.986,17454,$2.92,$3.099,$2.92
05/14/2025,$2.999,15424,$3.10,$3.10,$2.90
05/13/2025,$3.00,8447,$2.947,$3.09,$2.947
05/12/2025,$2.947,38418,$3.098,$3.177,$2.752
05/09/2025,$3.177,8342,$3.25,$3.25,$3.005
05/08/2025,$3.148,8005,$2.91,$3.25,$2.91
05/07/2025,$2.90,12502,$3.00,$3.075,$2.814
05/06/2025,$3.005,29686,$3.289,$3.40,$2.80
05/05/2025,$3.40,4083,$3.40,$3.489,$3.30
05/02/2025,$3.49,29825,$3.60,$3.79,$3.30
05/01/2025,$3.60,23299,$3.60,$3.68,$3.35
04/30/2025,$3.59,15320,$3.513,$3.72,$3.513
04/29/2025,$3.63,3562,$3.54,$3.65,$3.513
04/28/2025,$3.65,64693,$3.706,$3.82,$3.249
04/25/2025,$3.61,16398,$3.50,$3.70,$3.50
04/24/2025,$3.60,64580,$3.40,$3.896,$3.40
04/23/2025,$3.59,18119,$3.65,$3.65,$3.418
04/22/2025,$3.383,6355,$3.487,$3.50,$3.364
04/21/2025,$3.50,19870,$3.467,$3.55,$3.328
04/17/2025,$3.467,9517,$3.50,$3.50,$3.221
04/16/2025,$3.443,47876,$3.30,$3.50,$3.035
04/15/2025,$3.142,13897,$3.143,$3.381,$3.00
04/14/2025,$3.24,16517,$3.359,$3.359,$3.04
04/11/2025,$3.152,37110,$2.90,$3.305,$2.80
04/10/2025,$2.895,8726,$3.018,$3.059,$2.80
04/09/2025,$3.111,17821,$2.80,$3.30,$2.80
04/08/2025,$2.784,25466,$3.10,$3.146,$2.70
04/07/2025,$3.094,42644,$3.017,$3.199,$2.605
04/04/2025,$3.11,141732,$3.04,$3.38,$3.00
04/03/2025,$3.00,16834,$3.151,$3.34,$3.00
04/02/2025,$3.345,14016,$3.288,$3.454,$3.174
04/01/2025,$3.39,26069,$3.47,$3.535,$3.177
03/31/2025,$3.44,14314,$3.70,$3.70,$3.339
03/28/2025,$3.70,17573,$3.655,$3.80,$3.601
03/27/2025,$3.83,80460,$3.90,$3.996,$3.63
03/26/2025,$3.813,12723,$3.821,$3.98,$3.802
03/25/2025,$3.821,12214,$3.802,$3.956,$3.802
03/24/2025,$3.802,46435,$4.00,$4.20,$3.79
03/21/2025,$3.904,24858,$3.80,$3.904,$3.79
03/20/2025,$3.80,15725,$3.90,$4.17,$3.79
03/19/2025,$3.79,14836,$3.762,$3.917,$3.762
03/18/2025,$3.79,58103,$3.879,$3.944,$3.713
03/17/2025,$3.90,33434,$3.85,$4.00,$3.617
03/14/2025,$3.704,71765,$3.95,$4.10,$3.70
03/13/2025,$3.98,31574,$3.804,$4.00,$3.769
03/12/2025,$3.99,66652,$3.705,$4.20,$3.6225
03/11/2025,$3.90,68014,$3.48,$3.90,$3.35
03/10/2025,$3.59,34057,$3.331,$3.60,$3.237
03/07/2025,$3.59,48228,$3.55,$3.976,$3.411
03/06/2025,$3.63,29928,$3.586,$4.00,$3.501
03/05/2025,$3.697,19753,$3.54,$3.70,$3.36
03/04/2025,$3.649,41439,$3.40,$3.65,$3.03
03/03/2025,$3.46,35168,$3.773,$3.999,$3.40
02/28/2025,$3.89,35445,$3.80,$3.90,$3.60
02/27/2025,$4.002,28826,$4.10,$4.309,$3.80
02/26/2025,$4.314,25622,$4.40,$4.62,$4.20
02/25/2025,$3.95,53496,$4.48,$4.497,$3.80
02/24/2025,$4.39,104912,$4.16,$4.42,$3.60
02/21/2025,$4.399,114386,$5.01,$5.203,$4.225
02/20/2025,$5.11,86788,$5.142,$5.199,$4.80
02/19/2025,$5.576,60498,$5.90,$5.999,$5.51
02/18/2025,$5.92,84594,$6.80,$6.80,$5.90
02/14/2025,$6.666,156226,$6.653,$6.793,$5.837
02/13/2025,$6.663,295414,$5.96,$7.099,$5.60
02/12/2025,$6.388,397425,$6.533,$7.70,$5.819
02/11/2025,$6.50,717905,$5.60,$6.571,$5.13
02/10/2025,$6.951,22134360,$5.40,$10.499,$4.659
02/07/2025,$4.10,334930,$3.90,$5.694,$3.81
02/06/2025,$3.99,44114,$3.90,$4.229,$3.75
02/05/2025,$3.90,32690,$3.78,$3.90,$3.70
02/04/2025,$3.86,37860,$3.947,$4.067,$3.615
02/03/2025,$3.75,57705,$3.60,$4.0149,$3.40
01/31/2025,$3.787,35323,$3.74,$3.986,$3.60
01/30/2025,$3.649,103102,$4.18,$4.2395,$3.341
01/29/2025,$4.30,29457,$4.702,$4.809,$4.266
01/28/2025,$4.49,32911,$4.637,$4.723,$4.3028
01/27/2025,$4.78,63318,$5.30,$5.54,$4.30
01/24/2025,$5.325,21453,$5.104,$5.45,$5.104
01/23/2025,$5.15,70379,$5.60,$5.692,$5.001
01/22/2025,$5.872,46721,$6.00,$6.049,$5.563
01/21/2025,$5.982,39970,$6.209,$6.30,$5.90
01/17/2025,$6.30,116480,$6.128,$7.018,$6.01
01/16/2025,$6.006,63184,$6.203,$6.498,$5.74
01/15/2025,$6.40,43730,$6.51,$6.833,$6.113
01/14/2025,$6.611,40066,$6.55,$7.258,$6.202
01/13/2025,$6.659,81515,$7.135,$7.299,$6.19
01/10/2025,$7.45,54008,$7.70,$7.717,$6.901
01/08/2025,$7.75,130443,$8.10,$8.198,$7.30
01/07/2025,$8.90,129017,$9.293,$9.345,$8.101
01/06/2025,$9.20,127905,$9.90,$9.90,$9.021
01/03/2025,$9.70,174230,$10.30,$10.50,$8.60
01/02/2025,$10.70,344748,$8.899,$11.10,$7.824
12/31/2024,$9.74,2264840,$11.10,$11.80,$9.10
12/30/2024,$9.00,1106219,$9.194,$10.999,$8.894
12/27/2024,$8.10,63858,$8.768,$9.029,$7.81
12/26/2024,$8.046,53292,$7.20,$8.50,$7.186
